Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
OppoF17,"Rs.35,799",2020 September 02,Dual SIM (Nano-SIM dual stand-by),159.8 x 72.8 x 7.5 mm,163 g,Android 10 ColorOS 7.2,6.44 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch,No,128 GB,8 GB,Yes,Qualcomm SM6115 Snapdragon 662,Adreno 610,Li-Po 4015 mAh non-removable,16 MP f/2.0,No,1080p@30fps,Yes,16 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
Realme7i,"Rs.30,799",2020 September 17,Dual SIM (Nano-SIM dual stand-by),164.1 x 75.5 x 8.9 mm,188 g,Android 10 Realme UI,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass  ,128 GB,8 GB ,Yes,Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,Li-Po 5000 mAh non-removable,16 MP f/2.1,No,1080p@30/120fps,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60fps gyro-EIS,Yes,Yes,Yes,No,No,Yes,No
VivoY51,"Rs.32,300",2020 September 15,Hybrid Dual SIM (Nano-SIM dual stand-by),159.3 x 75.2 x 8.7 mm,186.7 g,Android 10 Funtouch 10,6.38 inches,1080 x 2340 pixels,Super AMOLED capacitive touchscreen 16M colors,No,128 GB,4 GB,Yes,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 610,Li-Po 4500 mAh non-removable,16 MP f/2.0,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
RealmeC17,"Rs.28,500",2020 September 21,Dual SIM (Nano-SIM dual stand-by),164.1 x 75.5 x 8.9 mm,188 g,Android 10,6.5 inches,720 x 1600 pixels,IPS LCD 90Hz,Corning Gorilla Glass,128 GB,6 GB,Yes,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,Li-Po 5000 mAh non-removable,8 MP f/2.0,No,1080p@30fps,Yes,13 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
OppoF17Pro,"Rs.46,300",2020 September 02,Dual SIM (Nano-SIM dual stand-by),160.1 x 73.8 x 7.5 mm,164 g,Android 10 ColorOS 7.2,6.43 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128GB,8GB,Yes,Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55),PowerVR GM9446,Li-Po 4000 mAh non-removable,16 MP + 2 MP ,Yes,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
Realme7Pro,"Rs.48,300",2020 September 03,Dual SIM (Nano-SIM dual stand-by),160.9 x 74.3 x 8.7 mm ,182 g,Android 10 Realme UI,6.4 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128GB,8GB,Yes,Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,Li-Po 4500 mAh non-removable,32 MP f/2.0,Yes,1080p@30/120fps gyro-EIS,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120fps gyro-EIS,Yes,Yes,Yes,No,Yes,No  ,
XiaomiPocoX3NFC,"Rs.38,799",2020 September 07,Hybrid Dual SIM (Nano-SIM dual stand-by),165.3 x 76.8 x 9.4 mm,215 g,Android 10 MIUI 12,6.67 inches,1080 x 2400 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128 GB,6 GB ,Yes,Octa-core (2x2.3 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,Li-Po 5160 mAh non-removable,20 MP f/2.2,No,1080p@30fps,Yes,64 MP + 13 MP + 2 MP + 2 MP,4K@30fps 1080p@30/120fps 720p@960fps; gyro-EIS,Yes,Yes,Yes,No,FM radio recording,Yes,Yes
XiaomiMi10TLite,"Rs.46,799",2020 September 30,Dual SIM (Nano-SIM dual stand-by),165.3 x 76.8 x 9 mm,214.5 g,Android 10 MIUI 12,6.67 inches,1080 x 2400 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 5,64/128 GB, 6 GB,No,Qualcomm SM7225 Snapdragon 750 5G,Adreno 619,Li-Po 4820 mAh non-removable,16 MP f/2.5,No,1080p@30fps,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K 1080p gyro-EIS,Yes,Yes,Yes,No,No,Yes,Yes
SamsungGalaxyNote20,"Rs.179,999",August 2020,Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),161.6 x 75.2 x 8.3 mm,222 g,Android 10 One UI 2.1,6.7 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Gorilla Glass ,256 GB,8 GB,No,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G77 MP11 - Global,Non-removable Li-Ion 4300 mAh battery,10 MP f/2.2,Yes,4K@30/60fps 1080p@30fps,Yes, 12MP + 12MP + 64 MP,8K@24fps 4K@30/60fps 1080p@30/60/240fps 720p@960fps,Yes,Yes,Yes,FM radio,Yes,Yes,
SamsungGalaxyNote20Ultra,"Rs.207,100",August 2020,Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),164.8 x 77.2 x 8.1 mm,198 g,Android 10 One UI 2.1,6.9 inches,1440 x 3200 pixels,Dynamic AMOLED 2X capacitive touchscreen 16M colors,Corning Gorilla Glass 7,256 GB,8 GB,No,Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) l,Mali-G77 MP11 ,Non-removable Li-Ion 4500 mAh battery,10 MP f/2.2,Yes,4K@30/60fps 1080p@30fps,Yes, 12MP + 108MP + 12MP,8K@24fps 4K@30/60fps 1080p@30/60/240fps 720p@960fps HDR10+,Yes,Yes,Yes,FM radio,Yes,Yes,
InfinixSmart5,"Rs.13,699",2020 August 13,Dual SIM (Nano-SIM dual stand-by),165.4 x 76.4 x 8.8 mm,183 g,Android 10 (Go edition),6.6 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,No,32/64 GB,2/3 GB,Yes,Mediatek MT6761D Helio A20,PowerVR GE8320,Li-Po 5000 mAh non-removable,8 MP,Yes,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
OppoA53,"Rs.26,300",2020 August 20,Hybrid Dual SIM (Nano-SIM dual stand-by),163.9 x 75.1 x 8.4 mm,186 g,Android 10 ColorOS 7.2,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass,64/128GB,4/6GB,Yes,Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240),Adreno 610,Li-Po 5000 mAh non-removable,16 MP f/2.0,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No  ,
XiaomiRedmi9A,"Rs.14,599",2020 July 07,Dual SIM (Nano-SIM dual stand-by),164.9 x 77.07 x 9.0 mm, 194 g,Android 10 MIUI 12,6.53 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,No,32GB,2GB,Yes,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320 (650 MHz),Non-removable Li-Po 5000 mAh battery,5 MP,No,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,No
OnePlusNord,"Rs.87,400",2020 July 21,Dual SIM (Nano-SIM dual stand-by),158.3 x 73.3 x 8.2 mm,184 g,Android 10 OxygenOS 10.5.4,6.44 inches,1080 x 2400 pixels,Fluid AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128 GB,8 GB,No,Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver),Adreno 620,Li-Po 4115 mAh non-removable,32 MP + 8 MP ,Yes,4K@30/60fps 1080p@30/60fps,Yes,48 MP + 8 MP + 5 MP + 2 MP,4K@30fps 1080p@30/60/240fps gyro-EIS,Yes,Yes,Yes,Yes,No,Yes,Yes
TecnoPop3,"Rs.8,599",June 2020,Dual SIM (Nano-SIM dual stand-by),6.0 x 2.96 x 0.39 inches,,Android 9.0 (Pie),5.7 inches,480 x 960,IPS touchscreen,,16GB,1GB,microSD,Mediatek MT6580P Quad-core 1.3 GHz Cortex-A7,Mali-400 MP2,Li-Po 3500 mAh,5 MP,Yes,Yes,Yes,8 MP,Yes,Yes,Yes,No,Yes,Yes,No,
XiaomiRedmi9C,"Rs.16,899",2020 June 30,Dual SIM (Nano-SIM dual stand-by),6.49 x 3.03 x 0.35 mm,196 g,Android 10 MIUI 12,6.53 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,No,32/64 GB,2/3 GB,microSDXC (dedicated slot),MediaTek Helio G35,PowerVR GE8320 (680 MHz),Non-removable Li-Po 5000 mAh battery,5 MP,No,1080p@30fps,Yes,13 MP + 5 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,Yes
XiaomiRedmi9,"Rs.24,799",2020 June 10,Dual SIM (Nano-SIM dual stand-by),6.43 x 3.03 x 0.36 mm,198 g,Android 10 MIUI 12,6.53 inches,1080 x 2340 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 3,32GB 64GB,3GB  4GB,Yes,Mediatek Helio G80,Mali-G52 MC2,Non-removable Li-Po 5020 mAh battery,8 MP f/2,No,1080p@30fps,Yes,13 MP + 8 MP + 5 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,Wireless FM radio (no wired headphones required),Yes,Yes (market/region dependent)
RealmeX3SuperZoom,"Rs.75,300",2020 May 26,Dual SIM (Nano-SIM dual stand-by),6.45 x 2.98 x 0.35 in,202 g,Android 10 Realme UI,6.6 inches,1080 x 2400 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128GB Or 256GB,8GB Or 12GB RAM,No,Qualcomm SM8150 Snapdragon 855+,Adreno 640 (700 MHz),Non-removable Li-Po 4200 mAh battery,Dual 32 MP + 8 MP,No,1080p@30fps gyro-EIS,Yes,64 MP + 8 MP + 8 MP + 2 MP,4K@30/60fps 1080p@30/60fps 720p@960fps; gyro-EIS,Yes,Yes,Yes,No,Yes,,
POCOF2Pro,"Rs.105,600",2020 May 12,Dual SIM (Nano-SIM dual stand-by),6.43 x 2.97 x 0.35 in,219 g,Android 10 MIUI 11,6.67 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128GB 256GB,6GB 8GB RAM,No,Qualcomm SM8250 Snapdragon 865,Adreno 650,Non-removable Li-Po 4700 mAh battery,Motorized,No,1080p@30fps 720p@120fps,Yes,64 MP + 5 MP + 13 MP + 2 MP,8K@24/30fps 4K@30/60fps 1080p@30/60/120/240fps 1080p@960fps; gyro-EIS,Yes,Yes,Yes,No,Yes,Yes,
SamsungGalaxyA21s,"Rs.29,999",2020 May 15,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),163.7 x 75.3 x 8.9 mm,192 g,Android 10 One UI 2.0,6.5 inches,720 x 1600 pixels,PLS TFT capacitive touchscreen 16M colors,No,64/128 GB,4GB,Yes,Exynos 850,Mali-G52,Li-Po 5000 mAh non-removable,13 MP f/2.2,Yes,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,
HuaweiY8p,"Rs.32,199",2020 May 18,Hybrid Dual SIM (Nano-SIM dual stand-by),6.20 x 2.88 x 0.31 in,163 g,Android 10 EMUI 10.1 no Google Play Services,6.3 inches,1080 x 2400 pixels,OLED capacitive touchscreen 16M colors,No,128GB,6GB ,NM (Nano Memory) up to 256GB (uses shared SIM slot),Kirin 710F,Mali-G51 MP4,Non-removable Li-Po 4000 mAh battery,16 MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes,
TecnoSpark5Pro,"Rs.17,499",May 2020,Dual SIM (Nano-SIM dual stand-by),6.4 x 3.0 x 0.34 mm,,Android 10 HIOS 6.1,6.6 Inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors Multitouch,No,64GB and 128GB,4GB,MicroSDXC (dedicated slot),Octa-Core Processor Android Q,Non-removable Li-Po 5000 mAh battery,8 MP,No,Yes,Yes,16 MP,Yes,Yes,Yes,Yes,No,FM radio,Yes,No,
HuaweiY6P,"Rs.19,899",2020 May 05,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),6.26 x 2.92 x 0.35 in,185 g,Android 10 EMUI 10.1 no Google Play Services,6.3 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,64GB,3GB,microSDXC (dedicated slot),Mediatek MT6762R Helio P22,PowerVR GE8320,Non-removable Li-Po 5000 mAh battery,8 MP,No,1080p@30fps,Yes,13 MP + 5 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio; built-in antenna,Yes,Yes (market/region dependent),
HuaweiY5p,"Rs.14,099",2020 May 05,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),5.77 x 2.79 x 0.33 in,144 g,Android 10 EMUI 10.1 no Google Play Services,5.45 inches,720 x 1440 pixels,IPS LCD capacitive touchscreen 16M colors,No,32GB,2GB,microSDXC (dedicated slot),Mediatek MT6762R Helio P22,PowerVR GE8320,Non-removable Li-Po 3020 mAh battery,5 MP,No,1080p@30fps,Yes,8 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
VivoY30,"Rs.27,499",2020 May 07,Dual SIM (Nano-SIM dual stand-by),6.38 x 3.01 x 0.36 in,197 g,Android 10 Funtouch 10.0,6.47 inches,720 x 1560 pixels,IPS LCD capacitive touchscreen 16M colors,64GB 128GB,4GB ,Unspecified,Mediatek MT6765 Helio P35,PowerVR GE8320,Non-removable Li-Po 5000 mAh battery,8 MP,No,1080p@30fps,Yes,13 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,,
OnePlus8Pro,"Rs.183,400",2020 April 14,Dual SIM (Nano-SIM dual stand-by),165.3 x 74.4 x 8.5 mm,199 g,Android 10.0; OxygenOS 10.0,6.78 inches,1440 x 3168 pixels,Fluid AMOLED capacitive touchscreen 1B colors,Corning Gorilla Glass,128 GB,8 GB,No,Qualcomm SM8250 Snapdragon 865 (7 nm+),Adreno 650,Li-Po 4510 mAh non-removable,16 MP f/2.5,Yes,1080p@30fps,Yes,48 MP + 8 MP + 5 MP,4K@30/60fps 1080p@30/60/240fps,Yes,Yes,Yes,No,Yes,Yes,
XiaomiRedmiNote9,"Rs.29,799",2020 April 30,Dual SIM (Nano-SIM dual stand-by),6.39 x 3.04 x 0.35 mm,199 g,Android 10 MIUI 11,6.53 inches,1080 x 2340 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128GB,4GB,microSDXC (dedicated slot),MediaTek Helio G85,Mali-G52 MC2,Non-removable Li-Po 5020 mAh battery,13 MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,Yes (region dependent)
ItelS15Pro,"Rs.12,999",2020 April 16,Dual SIM,156.7 x 74.7 x 8.9 mm,153g,Android™ 9 Pie,6.1 inches,720 x 1520 pixels,IPS LCD Touchscreen,No,32GB,2GB,MicroSD Card (supports up to 128GB),Quad-core 1.6GHz,No,Non-removable Li-Po 3000 mAh battery,16 MP,No,1080p@30fps,Yes,8 MP + 2 MP + 2 MP,2160p@30fps1080p@30fps,Yes,HSDPA 850 / 900 / 2100,4G LTE,FM radio,Yes,No,
HuaweiHonor9XLite,"Rs.29,999",2020 April 17,Hybrid Dual SIM (Nano-SIM dual stand-by),160.4 x 76.6 x 7.8 mm,188 g ,Android 9.0 (Pie) EMUI 9.1,6.5 inches,1080 x 2340 pixels,IPS LCD capacitive touchscreen 16M colors,No,128 GB,4 GB ,Yes,Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,Non-removable Li-Po 3750 mAh battery,8 MP f/2.0,No,1080p@30fps,Yes,48 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes,
XiaomiMiNote10Lite,"Rs.57,999",2020 April 30,Dual SIM (Nano-SIM dual stand-by),6.21 x 2.92 x 0.38 in,204 g,Android 10; MIUI 11,6.47 inches,1080 x 2340 pixels,AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 5,64GB 128GB,6GB 8GB,No,Snapdragon 730G,Adreno 618,Non-removable Li-Po 5260 mAh battery,16 MP,No,1080p@30fps,Yes,64 MP 8 MP 5 MP 2 MP,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes,
OnePlus8,"Rs.126,000",2020 April 14,Dual SIM (Nano-SIM dual stand-by),160.2 x 72.9 x 8 mm,180 g,Android 10 OxygenOS 10.0,6.55 inches,1080 x 2400 pixels,Fluid AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 5,128 GB,8 GB,No,Octa-core,Adreno 650,Non-removable Li-Po 4300 mAh battery,16 MP f/2.0,Yes,1080p@30fps,Yes,48 MP f/1.8,4K@30/60fps 1080p@30/60/240fps,Yes,Yes,Yes,No,Yes,Yes,
MotorolaMotoE6s(2020),"Rs.14,899",2020 March 17,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),155.6 x 73 x 8.5 mm,160 g,Android 9.0 (Pie),6.1 inches,720 x 1560 pixels,IPS LCD capacitive touchscreen 16M colors,No,32 GB,2 GB,Yes,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,Removable Li-Po 3000 mAh battery,5 MP f/2.2,No,1080p@30fps,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
Nokia5310(2020),"Rs.6,599",2020 March 19,Dual SIM (Mini-SIM dual stand-by),123.7 x 52.4 x 13.1 mm,88.2 g,No,2.4 inches,240 x 320 pixels,LCD TFT Display  ,No,16 MB,8 MB,Yes,Mediatek MT6260A,No,Li-Ion 1200 mAh removable,No,No,No,Yes,VGA,Yes,Yes,No,No,No,FM radio,Yes,No
InfinixS5Pro,"Rs.23,499",2020 March 6,Dual SIM (Nano-SIM dual stand-by),6.40 x 3.03 x 0.35 in,195 g,Android 10.0,6.53 inches,1080 x 2340 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass ,64GB and 128GB,4GB and 6GB,microSDXC (dedicated slot),Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,Non-removable Li-Po 4000 mAh battery,Motorized,16 Mp,1080p@30fps,Yes,48 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
SamsungGalaxyM11,"Rs.23,799",2020 March 30,Dual SIM (Nano-SIM dual stand-by),161.4 x 76.3 x 9 mm,197 g,Android 10 One UI 2.0,6.4 inches,720 x 1560 pixels,PLS TFT capacitive touchscreen 16M colors,No,32 GB,3 GB ,Yes,Octa-core 1.8 GHz Cortex-A53,Adreno 506,Li-Ion 5000 mAh non-removable,8 MP,No,1080p@30fps,Yes,13 MP + 5 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
Realme6i,"Rs.29,999",2020 March 17,Dual SIM (Nano-SIM dual stand-by),6.47 x 2.97 x 0.35 in,199 g,Android 10.0; Realme UI,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128GB,4GB,Yes,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,Non-removable Li-Po 5000 mAh battery,16 MP,No,1080p@30fps,Yes,48 MP,1080p@30fps gyro-EIS,Yes,Yes,Yes,FM radio,Yes,No,
SamsungGalaxyZFlip,"Rs.246,000",2020 February 11,Nano-SIM eSIM,Unfolded: 167.3 x 73.6 x 7.2 mm Folded: 87.4 x 73.6 x 17.3 mm,183 g,Android 10 One UI 2,6.7 inches,1080 x 2636 pixels,Foldable Dynamic AMOLED capacitive touchscreen 16M colors,No,256GB,8GB ,No,Octa-core (1x2.95 GHz Kryo 485 & 3x2.41 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),Li-Po 3300 mAh non-removable,10 MP f/2.4,Yes,4K@30fps,Yes,12 MP + 12 MP,4K@30/60fps 1080p@60/240fps 720p@960fps HDR10+,Yes,Yes,Yes,No,No,Yes,Yes
RealmeC3,"Rs.19,999",2020 February 19,Dual SIM (Nano-SIM dual stand-by),6.47 x 2.95 x 0.35 in,195 g,Android 10.0; realme UI 1.0,6.5 inches,720 x 1600 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 3,32GB,32GB 3GB RAM 64GB 4GB RAM,microSDXC (dedicated slot),Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 2EEMC2,Non-removable Li-Po 5000 mAh battery,5 MP,No,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
HuaweiY7p,"Rs.27,599",2020 February 6,Hybrid Dual SIM (Nano-SIM dual stand-by),6.29 x 3.00 x 0.32 inches,176 g,Android 9.0 (Pie) EMUI 9.1,6.39 inches,720 x 1560 pixels,IPS LCD capacitive touchscreen 16M colors,Capacitive Multi-touch Scratch resistant,64GB,4GB,Yes,Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G51 MP4,Non-removable Li-Po 4000 mAh battery,8 MP f/2.0,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
SamsungGalaxyS20Ultra,"Rs.213,999",2020 February 11,Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),6.57 x 2.99 x 0.35 in,220 g,Android 10 One UI 2,6.9 inches,1440 x 3200 pixels,Dynamic AMOLED 2X capacitive touchscreen 16M colors,Corning Gorilla Glass 6,128GB,12GB,microSDXC (uses shared SIM slot),Octa-core (2 x 2.73 GHz Mongoose M5 & 2 x 2.60 GHz Cortex-A76 + 4 x 2.0 GHz Cortex-A55) ,Mali-G77 MP11Adreno 650,Non-removable Li-Po 5000 mAh battery,40 MP,No,4K@30/60fps 1080p@30fps,Yes,108 MP + 48 MP + 12 MP + 0.3 MP,8K@24fps 4K@30/60fps 1080p@30/60/240fps 720p@960fps HDR10+ stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,No,Yes,Yes,
SamsungGalaxyS20,"Rs.155,999",2020 February 11,Single SIM (Nano-SIM and/or eSIM) or Hybrid Dual SIM (Nano-SIM dual stand-by),5.97 x 2.72 x 0.31 in,163 g,Android 10.0; One UI 2,6.2 inches,1440 x 3200 pixels,Dynamic AMOLED 2X capacitive touchscreen 16M colors,Corning Gorilla Glass 6,128GB,8GB ,microSDXC (uses shared SIM slot),Octa-core (2x2.73 GHz Mongoose M5 & 2x2.50 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585) - USA,Mali-G77 MP11 - GlobalAdreno 650 - USA,Non-removable Li-Po 4000 mAh battery,10 MP,No,2160p@30/60fps 1080p@30fps,Yes,12 MP + 64 MP + 12 MP,4320p@24fps 2160p@30/60fps 1080p@30/60/240fps 720p@960fps HDR10+ dual-video rec. stereo sound rec. gyro-EIS & OIS,Yes,Yes,Yes,No,FM radio (USA & Canada only),Yes,Yes
HuaweiNova7i,"Rs.39,999",2020 January,Hybrid Dual SIM (Nano-SIM dual stand-by),6.27 x 3.00 x 0.34 in,183 g,Android 10.0; EMUI 10,6.4 inches,1080 x 2310 pixels,LTPS IPS LCD capacitive touchscreen 16M colors ,Capacitive Multi-touch,128GB,8GB RAM,NM (Nano Memory) up to 256GB (uses shared SIM slot),Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55),Mali-G52 MP6,Non-removable Li-Po 4200 mAh battery,16 MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,2160p@30fps 1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes (market/region dependent),
HuaweiY6s(2019),"Rs.18,999",2020 January,Dual SIM (Nano-SIM dual stand-by),6.15 x 2.89 x 0.31 in,150 g,Android 9.0 (Pie); EMUI 9.1,6.09 inches,720 x 1560 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass ,64GB,3GB RAM,Yes,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,Non-removable Li-Po 3020 mAh battery,8 MP,Yes,1080p@30fps,Yes,13 MP,1080p@30fps,Yes,Yes,Yes,FM Radio built-in antenna,Yes,Yes (JAT-LX1 NFC only),
SamsungGalaxyA51,"Rs.47,299",2019 December,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM dual stand-by),6.24 x 2.90 x 0.31 inches,172 g,Android 10.0; One UI 2,6.5 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128 GB,6/8 GB,Yes,Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Mali-G72 MP3,Non-removable Li-Po 4000 mAh battery,32 MP f/2.2,Yes,1080p@30fps,Yes,48 MP + 12 MP + 5 MP + 5 MP,2160p@30fps 1080p@30/60/120fps; gyro-EIS,Yes,Yes,Yes,FM radio,Yes,Yes,
NokiaC1,"Rs.7,999",2019 December,Dual SIM (Nano-SIM dual stand-by),5.81 x 2.81 x 0.34 inches,155 g,Android 9.0 Pie (Go edition),5.45 inches,480 x 960 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch ,Yes,16GB,1GB ,Yes,Quad-core 1.3 GHz,,Removable Li-Ion 2500 mAh battery,5 MP,Yes,720p@30fps,Yes,5 MP,720p@30fps,Yes,Yes,No,FM radio,Yes,Yes (market dependent),
VivoV17,"Rs.50,999",2019 December,Hybrid Dual SIM (Nano-SIM dual stand-by),6.26 x 2.92 x 0.33 inches,176 g,Android 9.0 (Pie); Funtouch 9.2,6.44 inches,1080 x 2400 pixels,Super AMOLED capacitive touchscreen 16M colors,IPS LCD Capacitive Touchscreen 16M Colors Multitouch,128GB,8GB,microSDXC (uses shared SIM slot),Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,Non-removable Li-Po 4500 mAh battery,32 MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,No,
