Name,Price,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,RAM,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Camera,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC
XiaomiMi11Lite,"Rs.41,599",2021 March 29,Hybrid Dual SIM (Nano-SIM dual stand-by),160.5 x 75.7 x 6.8 mm,157 g,Android 11 MIUI 12,6.55 inches,1080 x 2400 pixels,AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 6,128 GB,6/8 GB ,Yes,Qualcomm® SnapdragonTM 732G,Adreno 618,Li-Po 4250 mAh non-removable,16 MP,No,1080p@30/60fps 720p@120fps,Yes,64 MP + 8 MP + 5 MP,4K@30fps 1080p@30/60/120fps; gyro-EIS,Yes,Yes,Yes,No,No,Yes,Yes (market/region dependent)
XiaomiPocoX3Pro,"Rs.44,599",2021 March 22,Hybrid Dual SIM (Nano-SIM dual stand-by),165.3 x 76.8 x 9.4 mm,215 g,Android 11 MIUI 12 for POCO,6.67 inches,1080 x 2400 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 6,128/256 GB,6/8 GB ,Yes,Qualcomm Snapdragon 860,Adreno 640,Li-Po 5160 mAh non-removable,20 MP f/2.2,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120fps 720p@960fps gyro-EIS,Yes,Yes,Yes,No,FM radio recording,Yes,Yes (market/region dependent)
OppoF19Pro,"Rs.45,599",2021 March 08,Dual SIM (Nano-SIM dual stand-by),160.1 x 73.2 x 7.8 mm,172 g,Android 11 ColorOS 11.1,6.43 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,128 GB,8 GB,Yes,MediaTek Helio P95,IMG 9XM-HP8 970MHz,Li-Po 4310 mAh non-removable,32MP,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/120fps; gyro-EIS,Yes,Yes,Yes,No,No,Yes,No
SamsungGalaxyA32,"Rs.37,299",2021 February 25,Dual SIM (Nano-SIM dual stand-by),158.9 x 73.6 x 8.4 mm,184 g,Android 11 One UI 3.0,6.4 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,128 GB,6 GB,Yes,Mediatek Helio G80,Mali-G52 MC2,Li-Ion 5000 mAh non-removable,20 MP,No,1080p@30fps,Yes,64 MP + 8 MP + 5 MP + 5 MP,4K@30fps 1080p@30/120fps,Yes,Yes,Yes,No,No,Yes,Yes (market/region dependent)
SamsungGalaxyA02,"Rs.16,299",2021 January 27,Dual SIM (Nano-SIM dual stand-by),164 x 75.9 x 9.1 mm,206 g,Android 10 One UI 2.0,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,32/64 GB,3 GB,Yes,Mediatek MT6739W,PowerVR GE8100,Li-Po 5000 mAh non-removable,5 MP,No,1080p@30fps,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
VivoY31,"Rs.33,999",2021 January 20,Dual SIM (Nano-SIM dual stand-by),163.9 x 75.3 x 8.4 mm,188 g,Android 11 Funtouch 11,6.58 inches,1080 x 2408 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,128 GB,4 GB,Yes,Qualcomm SM6115 Snapdragon 662,Adreno 610,Li-Po 5000 mAh non-removable,16 MP f/2.0,No,1080p@30fps,Yes,48 MP + 2 MP + 2 MP,4K@30fps 1080p@30fps gyro-EIS,Yes,Yes,Yes,No,FM radio,Yes,No
XiaomiRedmi9T,"Rs.24,499",2021 January 08,Dual SIM (Nano-SIM dual stand-by),162.3 x 77.3 x 9.6 mm,198 g,Android 10 MIUI 12,6.53 inches,1080 x 2340 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 3,64/128 GB,4/6 GB,Yes,Qualcomm SM6115 Snapdragon 662,Adreno 610,Li-Po 6000 mAh non-removable,8 MP f/2.0,No,1080p@30fps,Yes,48 MP + 8 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,FM radio,Yes,Yes,
OppoReno5Pro5G,"Rs.97,600",2020 December 10,Dual SIM (Nano-SIM dual stand-by),159.7 x 73.2 x 7.6 mm,173 g,Android 11 ColorOS 11.1,6.55 inches,1080 x 2400 pixels,Super AMOLED Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass 5,256 GB,12 GB,No,Mediatek MT6889Z Dimensity 1000+,Mali-G77 MC9,Li-Po 4350 mAh non-removable,32 MP,No,1080p@30fps gyro-EIS,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120fps; gyro-EIS HDR,Yes,Yes,Yes,No,Yes,Yes (market/region dependent),
OppoA15s,"Rs.25,499",2020 December 18,Dual SIM (Nano-SIM dual stand-by),164 x 75.4 x 7.9 mm,177 g,Android 10 ColorOS 7.2,6.52 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,64 GB,4 GB,Yes,Mediatek MT6765 Helio P35,PowerVR GE8320,Li-Po 4230 mAh non-removable,8 MP,No,1080p@30fps,Yes,13 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
OppoReno5,"Rs.56,600",2020 December 10,Dual SIM (Nano-SIM dual stand-by),159.1 x 73.4 x 7.9 mm,171 g,Android 11 ColorOS 11.1,6.4 inches,1080 x 2400 pixels,OLED Capacitive Touchscreen 16M Colors Multitouch ,No,128 GB,8 GB,No,Qualcomm SM7250 Snapdragon 765G,Adreno 618@750MHz,Li-Po 4300 mAh non-removable,44 MP  f/2.4,No,1080p@30fps gyro-EIS,Yes,64 MP + 8 MP + 2 MP + 2 MP,4K@30fps 1080p@30/60/120fps; gyro-EIS HDR,Yes,Yes,Yes,No,Yes,No,
XiaomiPocoM3,"Rs.24,599",2020 November 24,Dual SIM (Nano-SIM dual stand-by),162.3 x 77.3 x 9.6 mm,198 g,Android 10 MIUI 12,6.53 inches,1080 x 2340 pixels,IPS LCD capacitive touchscreen 16M colors,Corning Gorilla Glass 3,128 GB,4 GB,Yes,Qualcomm SM6115 Snapdragon 662,Adreno 610,Li-Po 6000 mAh non-removable,8 MP f/2.1,No,1080p@30fps,Yes,48 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
vivoY12s,"Rs.18,799",2020 November 16,Dual SIM (Nano-SIM dual stand-by),164.4 x 76.3 x 8.4 mm,191 g,Android 10 Funtouch 11,6.51 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,No,32/128 GB,3/4 RAM,Yes,Mediatek MT6765 Helio P35,PowerVR GE8320,Li-Po 5000 mAh non-removable,8 MP,No,1080p@30fps,Yes,13 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,No
SamsungGalaxyA12,"Rs.26,299",2020 November 24,Dual SIM (Nano-SIM dual stand-by),164 x 75.8 x 8.9 mm,205 g,Android 10,6.5 inches,720 x 1600 pixels,IPS LCD Capacitive Touchscreen 16M Colors Multitouch  ,Corning Gorilla Glass ,64 GB,4 GB,Yes,Mediatek MT6765 Helio P35,PowerVR GE8320,Li-Po 5000 mAh non-removable,8 MP,Yes,1080p@30fps,Yes,48 MP + 5 MP + 2 MP + 2 MP,1080p@30fps,Yes,Yes,Yes,No,Yes,Yes ,
